number_of_group,equipment,clothing_brand ,number_of_tries,type_of_member
1,Bag ,Nike ,1,Student 
1,Bag ,Adidas ,1,Member 
2,Basketball ,Nike ,2,Student 
1,None ,Puma ,1,Student 
1,Bag ,Adidas ,1,Student 
1,Towel ,Other ,1,Faculty 
3,Basketball ,North Face ,1,Student 
5,Badmitton ,Nike ,2,Student 
1,Bag ,College ,1,Member 
1,Laptop ,Adidas ,1,Student 
4,Bag ,UnderArmor ,1,Student 
10,Basketball ,Nike ,1,Student 
1,Bag ,Nike ,1,Faculty 
2,Boxing Gloves ,Other ,1,Student 
1,Bag ,Nike ,1,Student 
1,Bag ,UnderArmor ,1,Student 
1,Basketball ,Adidas ,1,Member 
1,Bag ,Adidas ,1,Student 
2,None ,Adidas ,1,Student 
1,Bag ,Nike ,1,Faculty 
1,Towel ,Other ,2,Member 
1,Laptop ,College ,1,Student 
3,None,Other ,1,Student 
1,None,Nike ,1,Member 
1,Bag ,Other ,1,Student 
1,None,College ,1,Member 
6,None,Nike ,1,Student 
2,Bag,Puma ,1,Student 
1,Bag,Adidas ,1,Student 
1,Racket,Adidas ,1,Student 
1,Badmitton ,Puma ,1,Student 
1,None,Adidas ,1,Student 
1,None,Other ,2,Member 
1,Boxing Gloves ,Other ,1,Student 
1,Bag,Adidas ,1,Member 
1,None,Nike ,1,Student 
5,None,Adidas ,1,Student 
1,Bag,Puma ,1,Student 
1,Bag,Adidas ,1,Student 
1,Bag,Nike ,3,Student 
1,None,Other ,1,Member 
1,None,Other ,1,Member 
1,Bag,Other ,1,Faculty 
2,Racket,Adidas ,1,Student 
2,None,Adidas ,1,Student 
1,None,Nike ,4,Student 
1,Bag,Puma ,1,Student 
1,Bag,UnderArmor ,1,Student 
1,Basketball,College ,1,Member 
3,None,Adidas ,1,Student 
1,None,Nike ,1,Member 
1,None,Nike ,1,Student 
1,Bag,Nike ,1,Student 
1,None,Other ,1,Member 
1,Bag,Other ,1,Student 
1,None,Other ,1,Faculty 
1,Laptop ,Adidas ,1,Student 
12,Basketball,Nike ,1,Member 
1,Bag,College ,1,Student 
1,None,College ,2,Student 
1,None,College ,1,Member 
1,None,Other ,1,Faculty 
1,None,Adidas ,1,Student 
1,Bag,Nike ,1,Member 
1,Bag,Puma ,3,Student 
2,None,Puma ,1,Student 
2,Racket,Adidas ,1,Student 
1,None,Nike ,1,Student 
1,None,Other ,1,Student 
1,Boxing Gloves ,Other ,1,Student 
1,None,Adidas ,1,Member 
1,None,Adidas ,1,Student 
